code,name,category,price,status,image
SW-1001,ساعة حائط ديكور ذهبي,ديكور وساعات,450,متوفر,
SW-1002,طبق تقديم مقسم,تقديم وضيافة,180,متوفر,
SW-1003,طقم أدوات مائدة أطفال,أدوات مائدة,250,متوفر,
SW-1004,طقم علب حفظ طعام,تنظيم وتخزين,320,متوفر,
SW-1005,منظم مطبخ متعدد الاستخدام,تنظيم وتخزين,195,متوفر,
SW-1006,طقم أكواب زجاج,أكواب ومجات,275,متوفر,
SW-1007,طاسة غير لاصقة,حلل وطاسات,390,غير متوفر,
SW-1008,مصفاة مطبخ,أدوات مطبخ,120,متوفر,
SW-1009,علبة بهارات,أدوات مطبخ,85,متوفر,
SW-1010,سلة تنظيم بلاستيك,بلاستيك,140,متوفر,
SW-1011,ممسحة تنظيف,أدوات تنظيف,210,متوفر,
SW-1012,طبق تقديم دائري,تقديم وضيافة,160,متوفر,
